city_name,country_code,lattitude,longitude,temp,wind_speed,cloudiness,humidity
marataizes,br,-21.093837581588744,-40.97655189900544,79.47,17.94,0,76
varadia,ro,45.116444956871504,21.540806034171567,27.82,1.14,0,93
juneau,us,58.32740088273985,-131.6559865231507,12.87,20.71,20,38
port hawkesbury,ca,45.31637271956032,-60.995534128678,31.03,9.22,90,74
gornopravdinsk,ru,62.26659294084138,70.30665120934776,-1.98,6.24,100,92
tamiahua,mx,22.433293039692614,-95.18119405862075,69.98,22.39,100,76
klaksvik,fo,72.27420187610605,-8.045716070616976,30.2,9.22,77,86
kruisfontein,za,-86.1197534981701,29.410138696564502,66.0,3.0,94,83
boende,cd,-0.0821017314340935,21.703595255893987,71.33,1.19,100,94
taylorville,us,39.0799447566296,-89.24273746024154,26.82,13.24,90,93
kashi,cn,38.925842985413254,76.15144012371991,24.8,8.95,0,58
chirongui,yt,-13.823825348480526,45.10019588566226,78.8,2.3,0,89
mount isa,au,-25.927201614161973,140.0220403114762,80.6,3.44,75,69
mar del plata,ar,-47.312459835299876,-53.735357346608936,71.6,12.66,0,49
srandakan,id,-16.838121547531216,106.81087790123615,75.94,7.11,100,89
lagoa,pt,51.818499602559626,-27.14785683083022,60.53,31.97,100,82
hasaki,jp,26.64895426618179,150.77940708104546,36.05,6.91,75,75
saint george,bm,37.91134706513431,-62.68163327293826,69.93,20.71,75,88
meadow lake,ca,55.2289325519769,-108.81341303982796,-4.0,14.97,75,65
zaranj,af,31.501233452603003,62.482362589037706,35.6,2.57,0,30
rudnogorsk,ru,58.17168639462898,103.65498750786537,-21.6,4.34,100,86
mayo,ca,64.95840465874917,-141.6012653322307,-41.8,2.17,1,66
payo,ph,18.409514255372002,129.43772239179305,72.82,1.95,100,96
finnsnes,no,71.15652796110737,17.155866687925908,23.0,12.66,75,58
gracanica,ba,44.625210702153055,18.284430421275175,30.09,2.3,75,100
kalga,ru,50.89641859929762,118.83094351416679,-25.11,5.26,52,80
zeya,ru,54.40708718720856,129.12859770977076,-18.67,4.76,100,84
altay,cn,47.52248312873226,86.93829979466187,1.67,1.74,63,74
brae,gb,66.91182042112078,0.24527595751939657,33.8,10.36,20,86
mokrous,ru,50.998250614628546,47.67103819881319,25.07,15.46,100,98
koszalin,pl,54.4409014612271,16.149561420902245,32.0,7.47,100,96
severo-kurilsk,ru,35.194700068708514,167.2872248163518,26.38,11.25,100,94
kars,tr,40.57150965874672,43.13290304883466,14.0,4.61,75,79
uglekamensk,ru,43.38995547455721,133.14573269199326,4.15,0.83,81,86
chuy,uy,-53.292110885805045,-32.223355584387974,79.45,11.95,4,69
beloha,mg,-26.63636506757537,42.3435093560544,77.32,13.4,7,79
okha,ru,56.124513241115494,142.5094919234977,9.64,15.61,100,95
ulladulla,au,-39.72243580237462,156.26858751008348,63.03,5.75,90,88
bathsheba,bb,13.582243200179605,-54.37805838088454,82.4,18.41,75,65
farim,gw,12.599093247094814,-15.065590965941794,87.8,4.81,0,37
berlevag,no,89.70143996624716,32.423242568137766,22.8,27.63,75,74
khandyga,ru,65.1752135325076,135.42712678584508,-53.63,1.12,77,75
prescott,us,34.51478613171895,-113.33469344708327,33.96,1.99,0,83
kamenka,ru,68.58027277806207,42.78125518365033,33.01,7.0,100,96
yar-sale,ru,68.36984802994826,69.66139138520896,-39.3,4.41,84,79
lavrentiya,ru,70.15915766356304,-170.65935362348296,-2.24,14.2,98,88
malpe,in,13.244010719536632,74.22198195643247,77.0,4.61,0,78
bamiantong,cn,44.83114560660411,130.64525811700196,-5.03,2.66,84,86
kidal,ml,18.09732125884412,0.16581167956860554,70.25,10.04,0,18
kiunga,pg,-5.535162417598514,138.59303421389143,72.39,1.48,99,97
simpang,id,-1.5582638521374008,104.03157004874004,73.92,2.59,100,97
eureka,us,40.890739659870235,-129.44440631938187,46.08,4.0,100,85
maceio,br,-12.310835215020518,-31.868469057815133,78.8,8.05,75,73
taperoa,br,-7.330028132959697,-36.90179942743654,86.31,16.42,100,44
ailigandi,pa,10.212270578119544,-77.87464575386495,81.97,11.14,4,76
mountain home,us,43.34416225092599,-115.75363427453954,40.3,20.71,90,52
san antonio,ph,14.215981768397086,121.48054763644404,77.0,4.61,75,78
perth,au,-31.440678132301066,113.96100900242061,62.1,11.5,0,48
tual,id,-7.281113899099751,134.31643211412592,83.59,18.41,99,78
shakawe,bw,-18.295154510502442,22.958750111889003,69.39,0.45,100,92
wagga wagga,au,-34.84434713049458,147.3969971943123,68.09,19.57,65,60
abu samrah,qa,20.126945295801704,50.329270228949156,51.37,5.82,100,56
bashmakovo,ru,53.092319927912285,42.91427841870345,32.11,17.72,100,98
lahij,ye,13.921648458492001,46.063950506071905,69.13,5.37,1,69
chapleau,ca,47.33169239339989,-83.67237864253092,5.0,6.91,75,66
dawlatabad,af,36.6027126491598,66.82112521715297,37.74,2.86,0,72
nouakchott,mr,19.234572971639395,-15.51823589947503,80.6,9.22,0,6
calabozo,ve,8.754372038540069,-68.03626076555298,93.69,9.73,100,29
sandpoint,us,48.08874312128677,-115.69830201003458,28.56,6.91,90,100
vung tau,vn,7.863563899731389,108.7447506411911,75.2,16.06,100,84
elko,us,38.95714268852359,-116.50850348445513,34.36,17.27,75,51
hillsborough,us,43.12249143759115,-72.01653846373873,52.95,9.22,90,76
peking,cn,40.03953944914838,116.272063022152,27.54,15.59,0,28
djibo,bf,13.876276482068903,-1.0605464891595489,74.34,8.77,0,14
atikokan,ca,48.91864919229715,-92.38032065799744,-1.16,3.96,94,88
comodoro rivadavia,ar,-49.42507321435805,-61.99771505741232,66.2,10.36,40,45
inyonga,tz,-6.496838905469119,31.62508871553962,65.28,1.34,70,92
goose creek,us,33.528135006318124,-79.88184363789227,35.53,4.61,90,65
petrovskoye,ru,56.74996450236162,39.28203288052532,23.0,7.18,95,98
zhigansk,ru,68.04194794629197,125.85497794021057,-47.81,7.02,56,76
pakxan,la,18.55410735424448,103.50012061826703,64.81,3.87,0,74
marsh harbour,bs,28.007666291654317,-73.99033734630396,77.43,13.27,1,75
santiago,pe,-14.439575950097321,-75.77191905041096,93.31,12.03,9,28
raikot,in,30.624063851956265,75.54982798445278,44.22,2.57,0,59
souillac,mu,-50.39174785893019,74.77490666777862,75.2,4.61,20,83
murdochville,ca,49.624900340118046,-65.13907412607416,24.8,9.22,99,74
pechenga,ru,69.9057129744252,32.16841848063356,21.2,12.66,75,79
miraflores,co,1.579776953467615,-71.3104345977899,84.4,3.78,98,63
deer lake,ca,49.98145317312088,-57.37323247900217,30.11,13.8,90,74
strezhevoy,ru,60.16204908887403,77.70288307997004,-27.4,2.24,0,75
kijang,id,1.5245830469892638,105.37862147354451,77.0,2.3,20,88
dunedin,nz,-50.11885533843468,173.26976534568865,54.0,27.0,0,64
chabahar,ir,24.919970257617308,60.46172194532494,65.89,5.3,0,71
concepcion del uruguay,ar,-32.258635769812415,-58.44261928536804,93.83,3.0,44,40
tvoroyri,fo,61.65205831346324,-6.211706448365845,30.2,6.91,28,80
hendaye,fr,43.74106789340189,-1.927356689081705,58.3,4.61,90,88
itarema,br,9.312770782548142,-38.54244804576953,83.12,15.66,46,68
dobroye,ua,44.8773070717622,34.229128310806374,44.82,8.1,100,77
zyryanka,ru,65.25186085300567,151.62495662386618,-30.89,3.74,100,84
boa vista,br,1.4943912334361613,-62.021026599268026,87.8,6.91,75,51
kabompo,zm,-13.843150066700986,24.271627155926495,62.71,1.88,97,96
nemuro,jp,34.70680503445426,151.26775446142176,22.89,15.43,0,89
la palma,pa,5.375147518149134,-81.06156132235124,83.98,5.61,100,78
ahvaz,ir,31.1613196349374,48.958463658821216,53.6,2.3,100,62
odweyne,so,7.7501228593548035,45.69386080808596,67.26,6.38,0,41
udachnyy,ru,68.650437037322,113.56951303862388,-40.68,0.58,3,79
kosa,ru,59.6296072248293,55.174008254851856,28.69,11.23,100,97
wageningen,sr,4.814008104612441,-56.36134733157115,81.39,8.72,12,68
kavieng,pg,15.54411690655121,151.8658594147077,83.34,9.53,99,72
nelson bay,au,-36.58953823909205,160.04538064042828,70.29,19.57,90,100
halmstad,se,57.016019134743004,13.13959107240845,33.21,3.98,90,100
aviles,es,46.055505545176175,-6.317794365799045,57.33,2.3,20,94
corinth,us,34.791736207318706,-88.47730229077479,46.0,3.0,48,24
otradnoye,ru,44.15122213253426,146.03797531710768,31.82,4.47,75,93
runkel,de,50.480792282752475,8.136277027863287,32.0,5.57,100,97
doha,kw,27.872296311868396,47.40363770660119,63.43,1.14,0,63
vao,nc,-27.719216208120102,165.3244610736371,77.94,19.75,100,84
mildura,au,-33.81426360944121,142.15280976339125,70.38,5.75,90,43
abu zabad,sd,12.492149613763203,28.212673058886622,74.48,10.58,7,20
caravelas,br,-19.857636665161948,-33.824890267526115,80.42,6.93,100,68
matadi,cd,-6.674573612618346,14.110567381741333,76.82,2.93,100,86
elliot lake,ca,46.48990326016886,-82.84610319311031,17.6,9.22,1,62
izazi,tz,-6.807828807609852,35.545408323549054,72.61,2.57,95,76
kedrovyy,ru,59.26571611959278,78.99960352595332,5.0,11.18,40,78
dauphin,ca,52.93228766402791,-98.70672368601583,-11.2,3.44,1,64
auki,sb,-6.209694076322364,162.6261127725728,80.69,13.67,95,85
muros,es,42.48374013090779,-16.822294014917787,57.7,11.99,100,88
nhulunbuy,au,-9.577172959236961,137.50503601001122,78.8,5.75,100,89
havoysund,no,74.19401910097426,24.49714473812932,23.04,21.85,75,68
ust-nera,ru,64.71127721854603,141.10982997241774,-25.19,2.39,100,76
